GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JDBC Util,nl.b3p.loader.util,DbUtilsGeometryColumnConverter,25,0,2,0,7,0,3,0,2,0
JDBC Util,nl.b3p.loader.jdbc,OracleJdbcConverter,148,11,14,0,33,3,23,1,16,1
JDBC Util,nl.b3p.loader.jdbc,Oracle11JdbcConverter,71,4,6,0,12,2,4,1,1,1
JDBC Util,nl.b3p.loader.jdbc,ColumnMetadata,308,0,24,0,60,0,36,0,24,0
JDBC Util,nl.b3p.loader.jdbc,HSQLJdbcConverter,103,0,4,0,29,0,19,0,17,0
JDBC Util,nl.b3p.loader.jdbc,MssqlConnectionUnwrapper,76,0,8,0,18,0,7,0,3,0
JDBC Util,nl.b3p.loader.jdbc,GeometryJdbcConverter,121,13,12,0,28,3,10,1,3,1
JDBC Util,nl.b3p.loader.jdbc,GeometryJdbcConverterFactory,199,0,16,0,48,0,11,0,3,0
JDBC Util,nl.b3p.loader.jdbc,PostgisJdbcConverter,154,0,18,0,37,0,26,0,17,0
JDBC Util,nl.b3p.loader.jdbc,OracleConnectionUnwrapper,71,0,4,0,12,0,5,0,3,0
JDBC Util,nl.b3p.loader.jdbc,MssqlJdbcConverter,142,0,16,0,36,0,25,0,17,0
JDBC Util,nl.b3p.loader.jdbc,LongColumnListHandler,52,0,4,0,17,0,7,0,5,0
